Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Car_Age
2010,5,22,80000,0,0,1,14
2012,13,22,89000,1,0,1,12
2016,13,14,23000,1,0,0,8
2015,4,7,40000,1,0,0,9
2017,13,22,15000,1,0,1,7
2015,12,13,38000,1,0,0,9
2006,3,13,99708,1,0,0,18
2006,2,22,99708,0,1,1,18
2010,13,22,78000,1,0,0,14
2012,5,13,56000,0,0,0,12
2013,3,6,47000,0,0,0,11
2014,4,6,40000,0,0,0,10
2009,3,18,62000,0,0,0,15
2014,11,16,58242,1,0,0,10
2006,3,13,75000,0,0,0,18
2008,4,22,89000,0,0,1,16
2012,5,18,72000,0,0,0,12
2016,13,22,29000,1,0,1,8
2017,13,18,8700,0,0,0,7
2013,7,18,45000,0,0,0,11
2010,9,20,50024,1,0,0,14
2016,1,1,3000,0,1,0,8
2017,1,1,1400,0,1,0,7
2017,1,1,4000,0,1,0,7
2017,1,1,1200,0,1,0,7
2017,1,1,4100,0,1,0,7
2015,1,2,21700,0,1,0,9
2014,1,3,16500,0,1,0,10
2013,1,1,15000,0,1,0,11
2016,1,1,18000,0,1,0,8
2017,1,1,11000,0,1,0,7
2016,1,1,6000,0,1,0,8
2016,1,1,8700,0,1,0,8
2014,1,2,7000,0,1,0,10
2016,1,1,35000,0,1,0,8
2015,1,1,17000,0,1,0,9
2015,1,1,17500,0,1,0,9
2013,1,1,33000,0,1,0,11
2015,1,1,14000,0,1,0,9
2015,1,1,26000,0,1,0,9
2013,1,1,5400,0,1,0,11
2016,1,1,5700,0,1,0,8
2011,1,1,6900,0,1,0,13
2016,1,1,6000,0,1,0,8
2013,1,1,46500,0,1,0,11
2012,0,1,11500,0,1,0,12
2009,0,1,40000,0,1,0,15
2017,0,0,1300,0,1,0,7
2016,0,0,7000,0,1,0,8
2017,0,0,3000,0,1,0,7
2017,0,0,5000,0,1,0,7
2017,0,0,11000,0,1,0,7
2015,0,0,18000,0,1,0,9
2017,0,0,3500,0,1,0,7
2016,0,0,500,0,1,0,8
2017,0,0,11800,0,1,0,7
2015,0,0,5000,0,1,0,9
2014,0,1,23500,0,1,0,10
2013,0,0,16000,0,1,0,11
2016,0,0,15000,0,1,0,8
2015,0,0,16600,0,1,0,9
2013,0,1,32000,0,1,0,11
2016,0,0,20000,0,1,0,8
2015,0,0,29000,0,1,0,9
2016,0,0,25000,0,1,0,8
2014,0,0,25000,0,1,0,10
2012,0,0,19000,0,1,0,12
2014,0,0,15000,0,1,0,10
2015,0,0,58000,0,1,0,9
2010,0,0,45000,0,1,0,14
2016,0,0,24000,0,1,0,8
2011,0,0,6000,0,1,0,13
2016,0,0,31000,0,1,0,8
2012,0,0,13000,0,1,0,12
2013,0,0,45000,0,1,0,11
2014,0,0,8000,0,1,0,10
2017,0,0,4300,0,1,1,7
2017,0,0,15000,0,1,0,7
2015,0,0,23000,0,1,0,9
2017,0,0,8600,0,1,0,7
2017,0,0,4000,0,1,1,7
2011,0,0,24000,0,1,0,13
2014,0,0,23000,0,1,0,10
2012,0,0,14500,0,1,0,12
2010,0,0,27000,0,1,0,14
2016,0,0,14000,0,1,0,8
2016,0,0,500,0,1,1,8
2016,0,0,1000,0,1,0,8
2014,0,0,42000,0,1,0,10
2013,0,0,12000,0,1,0,11
2015,0,0,14000,0,1,0,9
2012,0,0,5500,0,1,0,12
2015,0,0,6700,0,1,0,9
2014,0,0,13700,0,1,0,10
2017,0,0,1300,0,1,1,7
2015,0,0,38600,0,1,0,9
2011,0,0,75000,0,1,0,13
2011,0,1,30000,0,1,0,13
2016,0,0,24000,0,1,1,8
2014,0,0,19000,0,1,1,10
2010,0,1,99708,0,1,0,14
2012,0,0,60000,0,1,0,12
2016,0,0,50000,0,1,0,8
2013,0,0,30000,0,1,0,11
2013,0,0,21000,0,1,0,11
2008,0,0,26000,0,1,0,16
2008,0,0,1900,0,1,1,16
2010,0,0,22000,0,1,1,14
2013,0,0,32000,0,1,0,11
2013,0,0,18000,0,1,0,11
2006,0,0,55000,0,1,0,18
2008,0,0,60000,0,1,0,16
2012,0,0,25000,0,1,0,12
2007,0,0,49000,0,1,0,17
2013,0,0,24000,0,1,0,11
2008,0,0,50000,0,1,0,16
2015,0,0,35000,0,1,0,9
2008,0,0,99708,0,1,1,16
2010,0,0,33000,0,1,0,14
2011,0,0,35000,0,1,0,13
2007,0,0,53000,0,1,0,17
2006,0,0,92233,0,1,0,18
2010,3,6,58000,1,0,0,14
2015,4,5,28200,0,0,0,9
2011,2,4,53460,0,0,0,13
2015,2,4,28282,0,0,0,9
2016,5,5,3493,0,0,0,8
2017,5,7,12479,0,0,0,7
2015,5,5,34797,0,0,1,9
2017,7,8,3435,0,0,0,7
2015,4,5,21125,1,0,0,9
2012,3,4,35775,0,0,0,12
2015,11,14,43535,1,0,0,9
2016,11,13,22671,0,0,0,8
2011,2,6,31604,0,0,0,13
2017,5,5,20114,0,0,0,7
2012,4,9,36100,0,0,0,12
2016,2,4,12500,0,0,0,8
2016,3,4,15000,0,0,0,8
2014,6,9,45078,0,0,0,10
2012,4,9,36000,0,0,0,12
2017,3,4,38488,0,0,0,7
2013,4,6,32000,0,0,1,11
2014,6,7,77632,1,0,0,10
2015,8,9,61381,1,0,0,9
2013,5,9,36198,0,0,1,11
2011,2,4,22517,0,0,0,13
2015,5,5,24678,0,0,0,9
2011,2,4,57000,0,0,0,13
2012,4,9,60000,1,0,0,12
2012,3,6,52132,1,0,0,12
2013,6,9,45000,1,0,0,11
2017,9,9,15001,0,0,0,7
2015,11,14,12900,0,0,1,9
2013,3,5,53000,1,0,0,11
2015,5,5,4492,0,0,0,9
2017,9,9,15141,0,0,0,7
2016,3,4,11849,0,0,0,8
2015,11,13,68000,1,0,0,9
2013,4,9,60241,0,0,0,11
2012,2,4,23709,0,0,0,12
2012,5,9,32322,1,0,0,12
2015,4,7,35866,0,0,0,9
2014,4,7,34000,0,0,0,10
2016,6,7,7000,0,0,0,8
2013,5,9,49000,1,0,0,11
2012,5,9,71000,1,0,0,12
2012,3,6,35000,0,0,0,12
2015,5,9,36000,0,0,0,9
2013,4,4,30000,0,0,0,11
2016,5,7,17000,0,0,0,8
2016,12,13,35934,1,0,0,8
2013,5,9,56701,0,0,0,11
2015,5,6,31427,0,0,1,9
2014,7,9,48000,1,0,0,10
2013,5,9,54242,0,0,0,11
2012,3,5,53675,0,0,0,12
2016,10,13,49562,0,0,0,8
2015,8,13,40324,0,0,0,9
2015,8,13,25000,0,0,0,9
2014,3,7,36054,0,0,0,10
2016,9,13,29223,0,0,0,8
2016,5,5,5600,0,0,0,8
2015,4,5,40023,0,0,0,9
2016,6,7,16002,0,0,0,8
2015,4,7,40026,0,0,0,9
2017,6,8,21200,0,0,0,7
2014,3,7,35000,0,0,0,10
2016,8,9,19434,1,0,0,8
2017,4,5,19000,0,0,0,7
2015,6,10,18828,0,0,0,9
2011,4,10,69341,0,0,0,13
2009,3,10,69562,0,0,0,15
2015,7,10,27600,0,0,0,9
2010,2,7,61203,0,0,0,14
2014,5,6,16500,0,0,0,10
2016,10,13,30753,0,0,1,8
2015,8,13,24800,0,0,0,9
2015,9,13,21780,0,0,0,9
2016,6,8,4000,0,0,0,8
2014,6,13,40126,0,0,0,10
2015,5,5,14465,0,0,0,9
2006,2,7,50456,0,0,0,18
2014,8,14,63000,1,0,0,10
2016,8,11,9010,0,0,0,8
2013,3,5,9800,0,0,0,11
2016,7,8,15059,0,0,1,8
2016,5,7,28569,0,0,0,8
2015,5,7,44000,0,0,1,9
2015,8,13,34000,0,0,0,9
2016,10,13,10980,0,0,0,8
2014,4,6,19000,0,0,0,10
2015,5,6,31427,0,0,0,9
2016,6,8,12000,0,0,0,8
2010,3,9,38000,0,0,0,14
2014,3,6,33019,0,0,0,10
2015,8,13,60076,1,0,0,9
2016,9,11,33988,1,0,0,8
2015,4,5,60000,0,0,0,9
2009,3,11,87934,0,0,0,15
2017,11,12,9000,1,0,0,7
2016,5,5,5464,0,0,0,8
